"Date","Price","Open","High","Low","Vol.","Change %"
"27-12-2024","2,409.95","2,415.00","2,446.15","2,390.50","1.98M","0.40%"
"26-12-2024","2,400.25","2,378.05","2,410.00","2,368.00","895.79K","1.17%"
"24-12-2024","2,372.45","2,355.20","2,412.90","2,340.00","1.16M","1.43%"
"23-12-2024","2,338.95","2,373.95","2,379.50","2,332.75","758.92K","-0.26%"
"20-12-2024","2,344.95","2,429.00","2,453.85","2,333.00","1.34M","-3.08%"
"19-12-2024","2,419.35","2,429.00","2,434.00","2,397.10","1.18M","-1.55%"
"18-12-2024","2,457.40","2,489.00","2,496.60","2,452.00","990.22K","-1.21%"
"17-12-2024","2,487.60","2,512.00","2,525.00","2,480.75","1.06M","-0.99%"
"16-12-2024","2,512.40","2,530.00","2,537.50","2,503.00","654.32K","-0.60%"
"13-12-2024","2,527.55","2,504.00","2,545.00","2,479.05","1.94M","0.94%"
"12-12-2024","2,504.10","2,457.00","2,534.80","2,446.25","2.58M","1.91%"
"11-12-2024","2,457.25","2,469.00","2,480.00","2,451.00","712.67K","-0.40%"
"10-12-2024","2,467.20","2,501.00","2,501.00","2,455.00","1.12M","-1.15%"
"09-12-2024","2,495.85","2,507.90","2,526.00","2,483.15","958.37K","-0.42%"
"06-12-2024","2,506.40","2,520.00","2,535.00","2,502.50","1.24M","-0.64%"
"05-12-2024","2,522.55","2,505.00","2,538.15","2,470.25","3.33M","1.11%"
"04-12-2024","2,494.75","2,528.00","2,530.05","2,470.10","2.34M","-0.77%"
"03-12-2024","2,514.20","2,464.00","2,558.00","2,462.05","4.07M","2.33%"
"02-12-2024","2,457.05","2,491.35","2,508.00","2,426.60","3.81M","-0.25%"
"29-11-2024","2,463.15","2,464.05","2,520.00","2,400.00","8.19M","1.07%"
"28-11-2024","2,437.10","2,440.00","2,526.30","2,400.00","14.45M","1.64%"
"27-11-2024","2,397.80","2,180.00","2,418.00","2,142.15","17.50M","11.50%"
"26-11-2024","2,150.50","2,265.60","2,292.85","2,136.00","7.72M","-4.74%"
"25-11-2024","2,257.50","2,315.00","2,333.65","2,238.00","7.47M","1.32%"
"22-11-2024","2,228.00","2,101.00","2,289.70","2,025.00","20.94M","2.03%"
"21-11-2024","2,183.65","2,539.35","2,539.35","2,155.05","21.80M","-22.61%"
"19-11-2024","2,821.50","2,831.00","2,894.80","2,809.80","536.30K","0.10%"
"18-11-2024","2,818.70","2,826.80","2,858.65","2,793.30","489.69K","-0.29%"
"14-11-2024","2,826.80","2,824.00","2,844.80","2,801.00","646.80K","0.36%"
"13-11-2024","2,816.70","2,860.00","2,889.00","2,808.00","890.15K","-1.86%"
"12-11-2024","2,870.00","2,910.00","2,930.45","2,855.00","597.23K","-1.16%"
"11-11-2024","2,903.65","2,928.00","2,946.80","2,888.00","584.14K","-0.87%"
"08-11-2024","2,929.10","2,965.10","2,995.00","2,911.25","835.64K","-1.38%"
"07-11-2024","2,970.10","3,045.00","3,045.00","2,943.05","1.29M","-2.50%"
"06-11-2024","3,046.25","2,918.00","3,070.00","2,918.00","1.68M","4.48%"
"05-11-2024","2,915.55","2,897.40","2,924.00","2,870.00","752.30K","0.63%"
"04-11-2024","2,897.40","2,935.00","2,943.00","2,857.75","1.06M","-1.77%"
"01-11-2024","2,949.50","2,960.00","2,975.60","2,928.40","304.67K","0.08%"
"31-10-2024","2,947.25","2,967.90","2,976.50","2,933.85","1.16M","-0.74%"
"30-10-2024","2,969.30","2,864.00","2,997.15","2,815.05","2.88M","4.24%"
"29-10-2024","2,848.60","2,803.00","2,863.05","2,732.85","1.53M","1.78%"
"28-10-2024","2,798.65","2,701.10","2,822.40","2,672.10","1.39M","3.91%"
"25-10-2024","2,693.45","2,845.00","2,847.00","2,654.70","1.95M","-4.83%"
"24-10-2024","2,830.20","2,841.05","2,875.15","2,807.90","942.07K","-0.19%"
"23-10-2024","2,835.55","2,840.85","2,879.00","2,820.10","1.27M","0.42%"
"22-10-2024","2,823.80","2,938.00","2,955.00","2,818.00","1.21M","-3.88%"
"21-10-2024","2,937.65","3,005.15","3,014.95","2,916.95","1.05M","-2.14%"
"18-10-2024","3,002.00","2,990.00","3,031.70","2,968.10","796.34K","-0.39%"
"17-10-2024","3,013.75","3,089.95","3,100.00","2,993.00","2.66M","-2.34%"
"16-10-2024","3,085.90","3,098.00","3,115.40","3,061.00","543.48K","-0.61%"
"15-10-2024","3,104.70","3,124.00","3,128.00","3,091.50","371.61K","0.12%"
"14-10-2024","3,101.10","3,145.00","3,150.10","3,092.85","437.73K","-1.15%"
"11-10-2024","3,137.20","3,174.20","3,190.00","3,116.00","1.04M","-1.17%"
