"Date","Price","Open","High","Low","Vol.","Change %"
"04-02-2025","1,449.05","1,425.90","1,463.25","1,423.50","1.75M","2.01%"
"03-02-2025","1,420.55","1,435.00","1,439.30","1,406.15","1.76M","-1.32%"
"01-02-2025","1,439.50","1,479.40","1,486.50","1,427.25","1.31M","-2.70%"
"31-01-2025","1,479.40","1,460.00","1,491.00","1,452.10","2.08M","1.51%"
"30-01-2025","1,457.45","1,431.00","1,469.80","1,426.00","1.77M","2.35%"
"29-01-2025","1,423.95","1,440.00","1,455.00","1,410.60","3.78M","0.24%"
"28-01-2025","1,420.60","1,395.05","1,473.00","1,366.10","5.63M","1.75%"
"27-01-2025","1,396.10","1,408.10","1,414.90","1,384.20","1.45M","-1.08%"
"24-01-2025","1,411.40","1,445.25","1,451.00","1,408.00","1.62M","-2.74%"
"23-01-2025","1,451.15","1,432.55","1,458.20","1,432.55","1.07M","0.82%"
"22-01-2025","1,439.40","1,431.10","1,440.95","1,420.20","808.61K","0.80%"
"21-01-2025","1,428.00","1,450.50","1,464.80","1,425.00","820.23K","-1.21%"
"20-01-2025","1,445.45","1,442.30","1,449.55","1,428.90","738.45K","0.22%"
"17-01-2025","1,442.30","1,443.50","1,449.65","1,434.00","658.78K","-0.08%"
"16-01-2025","1,443.50","1,451.75","1,454.30","1,430.85","1.08M","-0.26%"
"15-01-2025","1,447.20","1,454.95","1,455.00","1,429.85","1.13M","-0.04%"
"14-01-2025","1,447.75","1,436.00","1,451.95","1,434.45","1.03M","0.59%"
"13-01-2025","1,439.20","1,460.00","1,463.95","1,436.35","873.09K","-2.02%"
"10-01-2025","1,468.80","1,483.10","1,497.70","1,465.15","930.72K","-1.30%"
"09-01-2025","1,488.20","1,490.10","1,499.40","1,481.00","995.82K","-0.45%"
"08-01-2025","1,494.90","1,504.90","1,513.00","1,487.55","1.28M","-0.17%"
"07-01-2025","1,497.45","1,490.00","1,510.00","1,487.95","1.05M","0.41%"
"06-01-2025","1,491.40","1,500.00","1,509.25","1,479.50","981.44K","-1.31%"
"03-01-2025","1,511.25","1,539.00","1,539.00","1,505.10","1.58M","-1.73%"
"02-01-2025","1,537.90","1,534.90","1,543.45","1,527.25","1.45M","0.58%"
"01-01-2025","1,529.10","1,531.95","1,547.85","1,518.70","1.58M","0.01%"
"31-12-2024","1,529.00","1,517.90","1,535.95","1,514.60","1.66M","0.50%"
"30-12-2024","1,521.40","1,509.00","1,526.70","1,495.10","1.50M","0.98%"
"27-12-2024","1,506.60","1,488.60","1,512.75","1,484.00","1.45M","1.08%"
"26-12-2024","1,490.55","1,475.75","1,494.95","1,466.25","1.25M","1.00%"
"24-12-2024","1,475.75","1,476.00","1,487.60","1,461.30","909.99K","-0.02%"
"23-12-2024","1,476.05","1,473.95","1,491.00","1,458.80","760.73K","0.27%"
"20-12-2024","1,472.05","1,506.55","1,506.60","1,469.05","2.20M","-2.29%"
"19-12-2024","1,506.55","1,450.00","1,510.05","1,449.90","3.43M","2.32%"
"18-12-2024","1,472.40","1,455.00","1,482.95","1,453.20","2.50M","1.49%"
"17-12-2024","1,450.85","1,470.00","1,483.00","1,448.00","3.50M","0.17%"
"16-12-2024","1,448.45","1,448.00","1,457.55","1,436.10","2.08M","0.08%"
"13-12-2024","1,447.30","1,445.10","1,449.50","1,423.80","1.32M","0.13%"
"12-12-2024","1,445.40","1,460.00","1,461.35","1,438.60","2.65M","-0.60%"
"11-12-2024","1,454.10","1,456.10","1,467.90","1,448.00","2.45M","-0.08%"
"10-12-2024","1,455.20","1,476.95","1,479.00","1,452.30","3.40M","-0.94%"
"09-12-2024","1,469.00","1,480.00","1,484.75","1,467.30","2.14M","-0.57%"
"06-12-2024","1,477.40","1,513.25","1,513.25","1,476.00","3.77M","-1.39%"
"05-12-2024","1,498.25","1,507.00","1,507.00","1,470.10","4.08M","-0.17%"
"04-12-2024","1,500.85","1,530.00","1,536.75","1,492.25","2.97M","-2.15%"
"03-12-2024","1,533.90","1,517.05","1,549.40","1,508.50","1.95M","1.74%"
"02-12-2024","1,507.70","1,532.00","1,548.50","1,504.30","5.33M","-1.71%"
"29-11-2024","1,533.90","1,490.00","1,547.70","1,490.00","3.26M","2.76%"
"28-11-2024","1,492.75","1,485.10","1,505.00","1,473.90","4.36M","0.11%"
"27-11-2024","1,491.15","1,487.10","1,502.00","1,468.50","1.68M","-0.10%"
"26-11-2024","1,492.70","1,515.00","1,515.00","1,490.05","873.59K","-0.71%"
"25-11-2024","1,503.30","1,495.90","1,507.50","1,487.50","2.45M","1.13%"
"22-11-2024","1,486.50","1,466.00","1,496.15","1,460.05","704.86K","1.43%"
"21-11-2024","1,465.50","1,470.00","1,478.10","1,453.85","1.36M","-0.41%"
"19-11-2024","1,471.55","1,465.00","1,485.85","1,456.85","1.12M","0.43%"
"18-11-2024","1,465.25","1,497.50","1,505.15","1,460.85","1.76M","-2.30%"
"14-11-2024","1,499.75","1,497.00","1,517.00","1,490.25","1.47M","-0.39%"
"13-11-2024","1,505.60","1,516.50","1,525.90","1,501.20","1.55M","-1.28%"
"12-11-2024","1,525.15","1,551.05","1,556.95","1,521.95","2.78M","-1.78%"
"11-11-2024","1,552.80","1,590.10","1,599.75","1,544.50","1.73M","-2.50%"
"08-11-2024","1,592.60","1,575.10","1,597.75","1,568.70","1.72M","1.04%"
"07-11-2024","1,576.15","1,600.00","1,602.00","1,558.55","1.51M","-1.12%"
"06-11-2024","1,594.05","1,610.20","1,612.35","1,581.00","2.07M","-0.45%"
"05-11-2024","1,601.20","1,583.60","1,609.95","1,577.65","2.24M","1.05%"
"04-11-2024","1,584.60","1,584.00","1,602.95","1,563.00","4.19M","1.61%"
"01-11-2024","1,559.55","1,565.10","1,573.45","1,551.75","538.36K","0.50%"
"31-10-2024","1,551.75","1,560.05","1,565.95","1,518.05","17.45M","9.41%"
"30-10-2024","1,418.25","1,440.00","1,440.00","1,403.00","5.06M","-4.01%"
"29-10-2024","1,477.55","1,510.00","1,517.15","1,450.00","3.48M","-1.70%"
"28-10-2024","1,503.15","1,496.80","1,513.20","1,471.70","928.90K","0.96%"
"25-10-2024","1,488.90","1,492.30","1,506.75","1,478.80","1.18M","-0.23%"
"24-10-2024","1,492.30","1,496.00","1,508.00","1,482.05","1.18M","0.45%"
"23-10-2024","1,485.60","1,504.75","1,514.10","1,482.30","1.93M","-1.64%"
"22-10-2024","1,510.35","1,523.00","1,526.70","1,501.50","1.76M","-0.88%"
"21-10-2024","1,523.75","1,552.00","1,561.25","1,517.15","1.30M","-1.80%"
"18-10-2024","1,551.70","1,549.05","1,562.05","1,536.35","1.88M","-0.45%"
"17-10-2024","1,558.70","1,562.20","1,578.70","1,552.15","1.50M","-0.22%"
"16-10-2024","1,562.20","1,561.40","1,573.00","1,550.40","2.52M","-0.61%"
"15-10-2024","1,571.75","1,601.90","1,604.95","1,568.00","2.21M","-1.67%"
"14-10-2024","1,598.45","1,600.00","1,605.95","1,571.05","2.30M","0.17%"
"11-10-2024","1,595.75","1,602.10","1,613.80","1,573.75","1.89M","-1.43%"
"10-10-2024","1,618.90","1,693.95","1,694.00","1,614.10","2.29M","-3.67%"
"09-10-2024","1,680.50","1,630.50","1,702.05","1,630.50","1.67M","2.43%"
"08-10-2024","1,640.70","1,624.65","1,653.20","1,623.85","1.24M","0.99%"
"07-10-2024","1,624.65","1,623.00","1,644.85","1,612.05","1.55M","0.08%"
"04-10-2024","1,623.30","1,645.10","1,656.40","1,577.30","2.37M","-2.01%"
"03-10-2024","1,656.55","1,661.25","1,678.00","1,640.35","1.53M","-0.50%"
"01-10-2024","1,664.85","1,660.00","1,667.05","1,651.55","945.74K","0.65%"
"30-09-2024","1,654.10","1,675.00","1,678.90","1,646.30","1.31M","-1.10%"
"27-09-2024","1,672.50","1,630.15","1,679.05","1,630.00","3.87M","3.13%"
"26-09-2024","1,621.80","1,643.20","1,652.45","1,602.30","2.61M","-1.30%"
"25-09-2024","1,643.20","1,638.00","1,649.00","1,618.25","759.76K","0.35%"
"24-09-2024","1,637.55","1,625.00","1,659.60","1,624.95","1.48M","-1.24%"
"23-09-2024","1,658.15","1,646.85","1,664.85","1,638.00","1.13M","1.19%"
"20-09-2024","1,638.65","1,645.90","1,652.60","1,609.80","2.50M","0.06%"
"19-09-2024","1,637.70","1,660.00","1,668.00","1,632.75","2.05M","-0.84%"
"18-09-2024","1,651.60","1,673.00","1,673.00","1,638.05","1.08M","-1.21%"
"17-09-2024","1,671.80","1,660.00","1,683.00","1,656.70","958.14K","0.75%"
